search_count,view_count,wishlist_count,cart_item_count,order_count,avg_order_value,total_spent,promo_keyword_count,membership_points,preferred_genre_count,persona,price_sensitivity,next_best_action,purchase_intent
1,15,5,2,6,231731.05940151674,1078220.7262244865,6,138,4,high_intent_buyer,high,bundle_related_products,0.99
8,15,4,0,12,258366.88861745558,3224849.3730780985,3,448,3,loyal_member,high,reengage_catalog,0.99
6,8,3,1,1,102261.45695440506,242813.50516356865,3,0,3,deal_hunter,high,push_coupon,0.9059
8,7,0,5,6,156441.9697810291,882310.4506080579,6,88,2,high_intent_buyer,high,bundle_related_products,0.99
6,3,5,4,13,192647.17409884615,2422454.426633554,5,366,1,loyal_member,high,reengage_catalog,0.99
9,3,3,0,10,154653.53313698183,1650630.1774217703,3,276,2,loyal_member,high,reengage_catalog,0.99
9,16,3,4,12,222027.8728200957,2803763.078312859,2,371,0,loyal_member,medium,reengage_catalog,0.99
9,0,6,4,11,124856.42990793835,1322273.3343701535,4,173,2,loyal_member,high,reengage_catalog,0.9743
0,2,1,0,6,233255.30950253145,1130272.69355666,4,73,3,high_intent_buyer,high,bundle_related_products,0.8999
6,11,0,3,11,185820.12102633592,1970045.0444633644,2,323,1,loyal_member,medium,reengage_catalog,0.99
11,17,0,1,12,237343.84092295702,2870914.2088467744,0,347,3,loyal_member,medium,reengage_catalog,0.9828
6,15,7,3,6,205122.63806565764,1124827.6778232818,2,113,0,high_intent_buyer,medium,bundle_related_products,0.9847
9,14,5,2,10,200687.1765300228,2083791.2307251736,1,259,3,loyal_member,medium,reengage_catalog,0.99
1,7,1,1,10,107196.60613230836,840428.0657353895,4,79,0,high_intent_buyer,high,bundle_related_products,0.9425
4,18,3,4,6,251457.5563782336,1451743.1028995735,1,142,3,loyal_member,medium,reengage_catalog,0.9626
8,5,0,0,6,226216.94756015675,1080930.4176501648,6,170,1,high_intent_buyer,high,bundle_related_products,0.9782
6,3,3,5,0,120877.90100149087,37228.19381675263,5,0,3,deal_hunter,high,push_coupon,0.99
1,12,5,0,11,217099.8176184471,2605568.005841388,2,275,1,loyal_member,medium,reengage_catalog,0.99
8,2,1,3,11,154038.32322269614,1632051.9869447348,1,195,1,loyal_member,medium,reengage_catalog,0.99
3,0,1,5,6,197243.26160976075,1317559.8205216653,3,128,2,loyal_member,high,reengage_catalog,0.99
5,18,1,3,8,204724.13042891095,1507722.4681816355,3,195,2,loyal_member,high,reengage_catalog,0.9753
3,0,2,4,0,141275.08396287216,0.0,6,0,0,deal_hunter,high,push_coupon,0.617
1,5,1,3,10,207165.09868100873,2228889.3085737764,5,296,4,loyal_member,high,reengage_catalog,0.9519
2,0,1,3,8,144823.73264265875,1292748.1337390852,2,235,1,loyal_member,medium,reengage_catalog,0.99
7,5,4,3,13,178986.67675138352,2398198.3500051186,1,304,0,loyal_member,medium,reengage_catalog,0.951
11,19,1,5,1,163799.5387465391,144817.4065689579,5,0,2,deal_hunter,high,push_coupon,0.99
0,15,2,3,6,203581.60411538873,1467210.5834116912,2,163,1,loyal_member,medium,reengage_catalog,0.9507
11,4,0,0,1,145126.44326945697,83816.47188769892,5,0,2,deal_hunter,high,push_coupon,0.1991
3,6,7,4,4,169718.29733039608,652722.3255576623,6,150,0,high_intent_buyer,high,bundle_related_products,0.99
3,2,0,4,14,217320.4878938435,2907569.9872669494,0,405,2,loyal_member,medium,reengage_catalog,0.9648
10,16,0,4,1,156684.73209269295,79217.6227593204,5,84,1,deal_hunter,high,push_coupon,0.99
6,13,2,5,7,146723.15635811133,991244.6838058995,2,138,2,high_intent_buyer,medium,bundle_related_products,0.99
10,2,5,0,11,343461.0720643656,4078366.9305130886,2,458,4,loyal_member,low,reengage_catalog,0.9885
5,9,5,4,12,276321.94914885284,3199209.9757472565,0,359,3,loyal_member,medium,reengage_catalog,0.9141
4,10,6,3,13,336607.30783256947,4291184.693444831,6,475,1,loyal_member,high,reengage_catalog,0.99
1,13,7,5,4,287108.5911615564,942446.7516423807,3,196,3,high_intent_buyer,high,bundle_related_products,0.99
11,2,7,0,7,203785.55530172802,1703090.510216991,4,182,1,loyal_member,high,reengage_catalog,0.9882
10,18,4,0,2,152639.73695161773,85296.14456403838,1,16,0,high_intent_buyer,medium,bundle_related_products,0.9597
2,3,6,0,6,235699.3699800906,1439064.9123074983,4,231,1,loyal_member,high,reengage_catalog,0.99
8,17,6,5,8,184649.23708725808,1812100.8261269599,0,248,2,loyal_member,medium,reengage_catalog,0.99
3,0,0,2,13,153817.36904091202,2190208.6700260746,3,210,0,loyal_member,high,reengage_catalog,0.99
8,1,6,5,12,148926.31235720371,1711671.779094453,6,225,3,loyal_member,high,reengage_catalog,0.99
7,15,5,0,12,218390.93816563577,2856129.9736665343,3,410,2,loyal_member,high,reengage_catalog,0.99
8,12,1,1,0,53380.301963677965,52479.277394257544,0,22,1,high_intent_buyer,high,bundle_related_products,0.8161
6,7,5,1,6,122090.5819112828,679030.5038907566,2,130,4,high_intent_buyer,medium,bundle_related_products,0.99
10,9,6,1,6,275916.39893922856,1725737.299033499,3,167,4,loyal_member,high,reengage_catalog,0.988
9,12,0,1,2,95193.3007286824,315562.65624419064,5,39,4,deal_hunter,high,push_coupon,0.9043
11,12,5,0,9,235192.60801262545,1865207.0312091103,5,268,0,loyal_member,high,reengage_catalog,0.9529
2,16,3,3,6,141558.82642816895,687158.1799385499,5,19,1,high_intent_buyer,high,bundle_related_products,0.9506
0,1,4,3,2,223542.1619858683,544486.159527647,1,64,2,high_intent_buyer,medium,bundle_related_products,0.9725
8,15,7,4,7,71521.89477573914,406076.7153995971,3,105,0,deal_hunter,high,push_coupon,0.9367
8,1,3,3,10,168598.09861630131,1816183.1765576068,2,263,1,loyal_member,medium,reengage_catalog,0.99
9,15,5,1,11,196885.9225867806,2141341.5432622093,2,340,0,loyal_member,medium,reengage_catalog,0.99
6,8,5,2,1,114102.64741530898,0.0,5,0,3,deal_hunter,high,push_coupon,0.99
1,7,5,5,0,196300.1036789534,88658.64021185493,5,0,4,deal_hunter,high,push_coupon,0.9655
1,2,3,3,0,155933.42443886682,209528.1095776843,4,61,4,deal_hunter,high,push_coupon,0.6658
11,9,2,2,0,178830.33135470242,44203.8686925686,2,12,0,high_intent_buyer,medium,bundle_related_products,0.8444
0,17,5,1,11,243607.44944216986,2701800.572993258,5,356,0,loyal_member,high,reengage_catalog,0.99
10,0,1,1,6,190822.68531613264,1276220.667963583,1,81,4,loyal_member,medium,reengage_catalog,0.99
10,0,0,0,2,50381.67959202142,0.0,0,74,1,category_browser,high,reengage_catalog,0.2253
2,1,5,4,14,230878.45450680188,3406573.162568953,6,476,4,loyal_member,high,reengage_catalog,0.99
1,2,5,3,8,195066.966213876,1426552.013898614,5,169,0,loyal_member,high,reengage_catalog,0.9399
0,3,0,1,1,249642.3407141291,28493.2982538027,4,4,0,deal_hunter,high,push_coupon,0.0969
0,0,1,5,6,231056.33453626663,1289537.8931682028,4,204,0,loyal_member,high,reengage_catalog,0.953
7,9,4,4,3,183076.41012553647,607136.7270052243,4,34,4,high_intent_buyer,high,bundle_related_products,0.9857
5,11,4,4,3,226302.58445175574,740248.0914644625,4,85,2,high_intent_buyer,high,bundle_related_products,0.99
10,9,1,0,14,228810.48263243915,3375545.1820487697,0,439,2,loyal_member,medium,reengage_catalog,0.99
4,12,7,2,2,72573.78786800671,0.0,2,16,1,high_intent_buyer,high,bundle_related_products,0.9727
3,8,3,2,2,107084.9886012105,269803.3295945741,1,47,3,high_intent_buyer,high,bundle_related_products,0.9648
7,13,4,1,3,223511.83430038972,487825.38671838446,5,64,3,deal_hunter,high,push_coupon,0.99
11,10,6,4,8,221942.7402431388,1766456.6108422799,6,257,2,loyal_member,high,reengage_catalog,0.9688
2,6,4,5,5,208686.7250802536,1149927.2632114165,3,201,4,high_intent_buyer,high,bundle_related_products,0.99
0,5,4,2,7,236455.0919005832,1362160.669829663,1,234,0,loyal_member,medium,reengage_catalog,0.9194
8,17,3,2,10,160428.58716933653,1363885.3187268218,1,171,1,loyal_member,medium,reengage_catalog,0.9782
0,19,3,4,6,205579.41152251684,983723.1326559901,2,162,1,high_intent_buyer,medium,bundle_related_products,0.99
4,0,5,1,11,241757.93099593982,2549197.675798416,3,304,4,loyal_member,high,reengage_catalog,0.99
11,11,1,5,12,199476.08073177168,2618324.3915119097,6,381,1,loyal_member,high,reengage_catalog,0.99
10,15,0,2,7,165102.6237405706,1005138.8308360007,3,84,4,high_intent_buyer,high,bundle_related_products,0.99
7,4,1,1,2,223129.69634034598,63177.74389661651,3,0,0,deal_hunter,high,push_coupon,0.6566
10,16,6,3,8,176064.23370785918,1383044.2902420638,4,190,0,loyal_member,high,reengage_catalog,0.9596
8,10,7,2,13,245609.33935131948,3240348.291696539,5,435,4,loyal_member,high,reengage_catalog,0.99
5,18,2,3,1,86554.05168194085,0.0,5,0,1,deal_hunter,high,push_coupon,0.9778
7,12,3,1,0,190667.6969765521,0.0,2,17,4,high_intent_buyer,medium,bundle_related_products,0.9266
5,6,1,3,8,204411.96966409095,1491344.591474687,0,190,3,loyal_member,medium,reengage_catalog,0.9415
9,12,7,2,14,239989.98858114902,2974272.3256081063,5,336,4,loyal_member,high,reengage_catalog,0.9882
5,17,0,0,7,120286.19043138839,708009.188366088,5,161,3,high_intent_buyer,high,bundle_related_products,0.99
1,19,1,1,12,119153.2468501403,1224867.8891063507,5,154,3,loyal_member,high,reengage_catalog,0.9735
10,19,6,2,4,198347.5721595446,700984.0666612743,6,110,0,high_intent_buyer,high,bundle_related_products,0.9739
6,16,2,5,6,204645.4650164912,958177.2193173778,5,191,0,high_intent_buyer,high,bundle_related_products,0.9585
11,13,6,4,9,150637.0602630945,1150511.998326167,5,125,4,high_intent_buyer,high,bundle_related_products,0.99
10,4,0,3,3,166765.9220684014,543323.9178337804,6,29,3,high_intent_buyer,high,bundle_related_products,0.9824
9,8,5,5,9,137767.76711181618,853865.0510576272,4,109,1,high_intent_buyer,high,bundle_related_products,0.99
10,5,5,3,6,164257.7377587632,955158.611989018,2,177,0,high_intent_buyer,medium,bundle_related_products,0.99
8,6,3,4,6,292897.67400702403,1784899.6972320739,5,267,2,loyal_member,high,reengage_catalog,0.99
1,11,1,5,12,114813.061697103,1404059.2528416044,4,174,4,loyal_member,high,reengage_catalog,0.99
4,2,0,2,1,187299.25417415358,238403.2963807502,0,0,2,high_intent_buyer,medium,bundle_related_products,0.6476
10,6,3,2,13,214034.04454374049,2638054.8839018242,6,405,1,loyal_member,high,reengage_catalog,0.99
4,4,4,1,13,186250.4717106676,2010897.0375473879,6,205,2,loyal_member,high,reengage_catalog,0.99
0,5,6,1,4,189214.28424082362,1138073.5021927461,2,71,2,high_intent_buyer,medium,bundle_related_products,0.99
7,15,5,2,12,278844.8754710857,3262726.8386710626,3,367,4,loyal_member,high,reengage_catalog,0.98
3,15,3,1,2,242410.59421632026,411406.7095287524,3,22,4,deal_hunter,high,push_coupon,0.9721
11,8,1,0,14,174531.22241957078,2318250.50044016,6,217,1,loyal_member,high,reengage_catalog,0.9599
11,9,2,3,11,191521.66418451138,1941808.1107862405,2,263,1,loyal_member,medium,reengage_catalog,0.99
10,13,3,1,14,207815.51363480598,3013014.7414007992,2,320,0,loyal_member,medium,reengage_catalog,0.99
4,17,1,0,1,88125.99917427282,0.0,3,0,2,deal_hunter,high,push_coupon,0.5677
5,16,4,1,3,45000.0,0.0,2,58,3,high_intent_buyer,high,bundle_related_products,0.99
8,6,1,5,7,123425.52686012106,935628.8826964811,0,66,0,high_intent_buyer,medium,bundle_related_products,0.99
3,2,0,5,1,197777.2063996709,326898.53151078615,0,0,0,high_intent_buyer,medium,bundle_related_products,0.8215
5,4,0,3,3,62709.05263999042,203972.7292811234,4,0,4,deal_hunter,high,push_coupon,0.99
5,3,7,4,14,220629.821041886,3040935.141964763,5,389,2,loyal_member,high,reengage_catalog,0.99
10,19,0,2,11,252026.06283635035,2874626.916719518,5,297,3,loyal_member,high,reengage_catalog,0.99
